Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"NVDA","NVIDIA Corporation","","","","18.79","","","","","","","","","","","","","","","","","","","",""
"AVGO","Broadcom Inc.","","","","16.34","","","","","","","","","","","","","","","","","","","",""
"TSM","Taiwan Semiconductor Manufacturing Company Limited","","","","14.99","","","","","","","","","","","","","","","","","","","",""
"AMD","Advanced Micro Devices, Inc.","","","","10.08","","","","","","","","","","","","","","","","","","","",""
"ASML","ASML Holding N.V.","","","","9.89","","","","","","","","","","","","","","","","","","","",""
"LRCX","Lam Research Corporation","","","","5.62","","","","","","","","","","","","","","","","","","","",""
"AMAT","Applied Materials, Inc.","","","","5.46","","","","","","","","","","","","","","","","","","","",""
"KLAC","KLA Corporation","","","","3.99","","","","","","","","","","","","","","","","","","","",""
"ARM","Arm Holdings plc","","","","3.89","","","","","","","","","","","","","","","","","","","",""
"QCOM","QUALCOMM Incorporated","","","","3.34","","","","","","","","","","","","","","","","","","","",""
"MRVL","Marvell Technology, Inc.","","","","2.51","","","","","","","","","","","","","","","","","","","",""
"SNPS","Synopsys, Inc.","","","","1.61","","","","","","","","","","","","","","","","","","","",""
"CDNS","Cadence Design Systems, Inc.","","","","1.58","","","","","","","","","","","","","","","","","","","",""
"TER","Teradyne, Inc.","","","","0.94","","","","","","","","","","","","","","","","","","","",""
"AMKR","Amkor Technology, Inc.","","","","0.30","","","","","","","","","","","","","","","","","","","",""
"LSCC","Lattice Semiconductor Corporation","","","","0.29","","","","","","","","","","","","","","","","","","","",""
"RMBS","Rambus Inc.","","","","0.22","","","","","","","","","","","","","","","","","","","",""
"CASH","Cash","","","","0.11","","","","","","","","","","","","","","","","","","","",""
"ACMR","ACM Research, Inc.","","","","0.05","","","","","","","","","","","","","","","","","","","",""
