Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"NVDA","NVIDIA Corp","Information Technology","Equity","","8.75","","","","","","","","","","","","","","","","","","","",""
"AAPL","Apple Inc","Information Technology","Equity","","7.35","","","","","","","","","","","","","","","","","","","",""
"MSFT","Microsoft Corp","Information Technology","Equity","","5.12","","","","","","","","","","","","","","","","","","","",""
"AMZN","Amazon.com Inc","Consumer Discretionary","Equity","","4.73","","","","","","","","","","","","","","","","","","","",""
"MU","Micron Technology Inc","Information Technology","Equity","","3.89","","","","","","","","","","","","","","","","","","","",""
"GOOGL","Alphabet Inc","Communication","Equity","","3.70","","","","","","","","","","","","","","","","","","","",""
"TSLA","Tesla Inc","Consumer Discretionary","Equity","","3.42","","","","","","","","","","","","","","","","","","","",""
"GOOG","Alphabet Inc","Communication","Equity","","3.42","","","","","","","","","","","","","","","","","","","",""
"AMD","Advanced Micro Devices Inc","Information Technology","Equity","","3.32","","","","","","","","","","","","","","","","","","","",""
"AVGO","Broadcom Inc","Information Technology","Equity","","3.23","","","","","","","","","","","","","","","","","","","",""
"META","Meta Platforms Inc","Communication","Equity","","2.94","","","","","","","","","","","","","","","","","","","",""
"WMT","Walmart Inc","Consumer Staples","Equity","","2.69","","","","","","","","","","","","","","","","","","","",""
"INTC","Intel Corp","Information Technology","Equity","","2.68","","","","","","","","","","","","","","","","","","","",""
"CSCO","Cisco Systems Inc","Information Technology","Equity","","2.12","","","","","","","","","","","","","","","","","","","",""
"COST","Costco Wholesale Corp","Consumer Staples","Equity","","2.11","","","","","","","","","","","","","","","","","","","",""
"LRCX","Lam Research Corp","Information Technology","Equity","","1.71","","","","","","","","","","","","","","","","","","","",""
"NFLX","Netflix Inc","Communication","Equity","","1.71","","","","","","","","","","","","","","","","","","","",""
"AMAT","Applied Materials Inc","Information Technology","Equity","","1.54","","","","","","","","","","","","","","","","","","","",""
"PLTR","Palantir Technologies Inc","Information Technology","Equity","","1.43","","","","","","","","","","","","","","","","","","","",""
"TXN","Texas Instruments Inc","Information Technology","Equity","","1.23","","","","","","","","","","","","","","","","","","","",""
"KLAC","KLA Corp","Information Technology","Equity","","1.10","","","","","","","","","","","","","","","","","","","",""
