Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"SU","SUNCOR ENERGY INC","Energy","Equity","613,495,914.48","25.99","613,495,914.48","6,571,293.00","93.36","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","544,007,076.03","23.04","544,007,076.03","8,098,959.00","67.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CVE","CENOVUS ENERGY","Energy","Equity","317,073,339.25","13.43","317,073,339.25","7,594,571.00","41.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMO","IMPERIAL OIL LTD","Energy","Equity","155,185,423.91","6.57","155,185,423.91","841,159.00","184.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","138,127,878.52","5.85","138,127,878.52","2,063,458.00","66.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCP","WHITECAP RESOURCES INC","Energy","Equity","114,341,696.53","4.84","114,341,696.53","6,810,107.00","16.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARX","ARC RESOURCES LTD","Energy","Equity","101,265,630.57","4.29","101,265,630.57","3,205,623.00","31.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PSK","PRAIRIESKY ROYALTY LTD","Energy","Equity","45,320,750.50","1.92","45,320,750.50","1,306,450.00","34.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVE","TAMARACK VALLEY ENERGY LTD","Energy","Equity","35,042,822.10","1.48","35,042,822.10","2,722,830.00","12.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATH","ATHABASCA OIL CORP","Energy","Equity","32,022,888.10","1.36","32,022,888.10","2,690,999.00","11.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PEY","PEYTO EXPLORATION & DEVELOPMENT CO","Energy","Equity","30,606,618.90","1.30","30,606,618.90","1,148,466.00","26.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTE","BAYTEX ENERGY CORP","Energy","Equity","25,873,048.96","1.10","25,873,048.96","3,675,149.00","7.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFX","ENERFLEX LTD","Energy","Equity","25,568,650.45","1.08","25,568,650.45","682,741.00","37.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CEU","CES ENERGY SOLUTIONS CORP","Energy","Equity","22,331,811.06","0.95","22,331,811.06","1,176,597.00","18.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TPZ","TOPAZ ENERGY CORP","Energy","Equity","21,237,905.50","0.90","21,237,905.50","638,734.00","33.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HWX","HEADWATER EXPLORATION INC","Energy","Equity","16,046,376.40","0.68","16,046,376.40","1,240,060.00","12.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VET","VERMILION ENERGY INC","Energy","Equity","14,503,423.10","0.61","14,503,423.10","856,670.00","16.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POU","PARAMOUNT RESOURCE LTD CLASS A","Energy","Equity","14,135,407.92","0.60","14,135,407.92","429,909.00","32.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PXT","PAREX RESOURCES INC","Energy","Equity","14,022,393.24","0.59","14,022,393.24","539,738.00","25.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IPCO","INTERNATIONAL PETROLEUM CORP","Energy","Equity","13,679,510.13","0.58","13,679,510.13","365,079.00","37.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FRU","FREEHOLD ROYALTIES LTD","Energy","Equity","13,451,082.47","0.57","13,451,082.47","765,571.00","17.57","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVK","TERRAVEST INDUSTRIES INC","Energy","Equity","12,067,234.40","0.51","12,067,234.40","85,462.00","141.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SCR","STRATHCONA RESOURCES LTD","Energy","Equity","11,353,599.54","0.48","11,353,599.54","239,831.00","47.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIR","BIRCHCLIFF ENERGY LTD","Energy","Equity","10,538,382.50","0.45","10,538,382.50","1,538,450.00","6.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AAV","ADVANTAGE ENERGY LTD","Energy","Equity","9,580,685.25","0.41","9,580,685.25","934,701.00","10.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEL","KELT EXPLORATION LTD","Energy","Equity","9,310,839.84","0.39","9,310,839.84","932,016.00","9.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","484,755.18","0.02","484,755.18","484,755.00","100.00","Canada","-","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","4,207.67","0.00","4,207.67","3,052.00","137.88","United States","-","CAD","0.73","USD"
