Fund Holdings as of,"May 20, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"XTOT","ISHARES CORE S&P TOTAL U.S. COM","Other","Equity","4,749,048,487.36","26.76","4,749,048,487.36","94,527,239.00","94,527,239.00","50.24","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","May 27, 2025"
"XIC","ISHARES S&P/TSX CAPPED COMPOSITE","Financials","Equity","4,494,694,268.16","25.33","4,494,694,268.16","82,260,144.00","82,260,144.00","54.64","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 1, 2009"
"XEF","ISHARES MSCI EAFE IMI INDEX","Other","Equity","4,349,942,280.06","24.51","4,349,942,280.06","86,755,929.00","86,755,929.00","50.14","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Apr 9, 2013"
"ITOT","ISHARES CORE S&P TOTAL U.S. STOCK","Financials","Equity","3,239,573,951.58","18.26","3,239,573,951.58","14,578,795.00","14,578,795.00","222.21","United States","NYSE Arca","CAD","0.00","-","0.73","-","0.00","0.00","-","-","0.00","-","USD","-","Jan 20, 2004"
"XEC","ISHARES MSCI EMERGING MARKET","Financials","Equity","861,733,573.60","4.86","861,733,573.60","20,133,962.00","20,133,962.00","42.80","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Apr 9, 2013"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","48,192,702.38","0.27","48,192,702.38","48,192,702.00","48,192,702.00","100.00","Canada","-","CAD","0.00","3.47","1.00","-","0.00","0.00","-","3.47","0.00","3.47","CAD","-","Jan 1, 1989"
"USD","USD CASH","Cash and/or Derivatives","Cash","2,855,643.84","0.02","2,855,643.84","2,078,268.00","2,078,268.00","137.40","United States","-","CAD","0.00","3.62","0.73","-","0.00","0.00","-","3.62","0.00","3.62","USD","-","Jan 1, 1989"
 
Fund Holdings as of,"May 20, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"NVDA","NVIDIA CORP","Information Technology","Equity","604,225,759.40","3.40","604,225,759.40","30,904,636.00","30,904,636.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Jan 22, 1999"
"AAPL","APPLE INC","Information Technology","Equity","493,808,990.96","2.78","493,808,990.96","18,673,956.00","18,673,956.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"MSFT","MICROSOFT CORP","Information Technology","Equity","347,936,996.51","1.96","347,936,996.51","9,444,972.00","9,444,972.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Mar 13, 1986"
"RY","ROYAL BANK OF CANADA","Financials","Equity","330,259,797.03","1.86","330,259,797.03","1,283,360.00","1,283,360.00","257.34","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","288,004,336.58","1.62","288,004,336.58","12,421,705.00","12,421,705.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 15, 1997"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","251,756,939.93","1.42","251,756,939.93","7,399,055.00","7,399,055.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Aug 19, 2004"
"TD","TORONTO DOMINION","Financials","Equity","231,882,176.23","1.31","231,882,176.23","1,541,053.00","1,541,053.00","150.47","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"AVGO","BROADCOM INC","Information Technology","Equity","220,388,739.44","1.24","220,388,739.44","6,029,849.00","6,029,849.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Aug 6, 2009"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","200,463,891.04","1.13","200,463,891.04","5,952,940.00","5,952,940.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Aug 19, 2004"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","162,466,567.43","0.92","162,466,567.43","1,125,738.00","1,125,738.00","144.32","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"ENB","ENBRIDGE INC","Energy","Equity","157,420,374.17","0.89","157,420,374.17","2,003,313.00","2,003,313.00","78.58","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Nov 5, 1984"
"META","META PLATFORMS INC CLASS A","Communication","Equity","147,235,933.42","0.83","147,235,933.42","2,781,370.00","2,781,370.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 18, 2012"
"BMO","BANK OF MONTREAL","Financials","Equity","140,598,980.87","0.79","140,598,980.87","648,459.00","648,459.00","216.82","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","133,964,362.66","0.75","133,964,362.66","852,787.00","852,787.00","157.09","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"TSLA","TESLA INC","Consumer Discretionary","Equity","130,524,486.88","0.74","130,524,486.88","3,575,443.00","3,575,443.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Jun 29, 2010"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","128,272,731.31","0.72","128,272,731.31","1,911,380.00","1,911,380.00","67.11","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","126,058,644.91","0.71","126,058,644.91","2,023,738.00","2,023,738.00","62.29","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Aug 11, 1997"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","122,815,273.53","0.69","122,815,273.53","1,131,938.00","1,131,938.00","108.50","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","112,631,195.26","0.63","112,631,195.26","460,038.00","460,038.00","244.83","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","106,595,339.21","0.60","106,595,339.21","1,124,542.00","1,124,542.00","94.79","Taiwan","Taiwan Stock Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","TWD","Nov 10, 1994","Nov 10, 1994"
"ASML","ASML HOLDING NV","Information Technology","Equity","103,351,839.30","0.58","103,351,839.30","48,560.00","48,560.00","2,128.34","Netherlands","Euronext Amsterdam","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","EUR","-","Mar 17, 1995"
"SU","SUNCOR ENERGY INC","Energy","Equity","101,939,216.53","0.57","101,939,216.53","1,092,596.00","1,092,596.00","93.30","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Mar 19, 1993"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","98,287,454.08","0.55","98,287,454.08","2,336,086.00","2,336,086.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 9, 1996"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","97,804,547.28","0.55","97,804,547.28","824,311.00","824,311.00","118.65","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"TRP","TC ENERGY CORP","Energy","Equity","92,078,306.78","0.52","92,078,306.78","955,467.00","955,467.00","96.37","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","May 30, 1985"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","91,661,010.57","0.52","91,661,010.57","1,431,276.00","1,431,276.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Jun 1, 1984"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","90,555,804.76","0.51","90,555,804.76","3,427,533.00","3,427,533.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"LLY","ELI LILLY","Health Care","Equity","89,817,936.14","0.51","89,817,936.14","1,007,600.00","1,007,600.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"ABX","BARRICK MINING CORP","Materials","Equity","86,499,042.78","0.49","86,499,042.78","1,538,308.00","1,538,308.00","56.23","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","81,874,451.85","0.46","81,874,451.85","1,539,572.00","1,539,572.00","53.18","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Sep 24, 1999"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","81,183,915.02","0.46","81,183,915.02","2,073,218.00","2,073,218.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","79,037,850.30","0.45","79,037,850.30","501,032.00","501,032.00","157.75","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Nov 17, 1995"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","74,809,241.93","0.42","74,809,241.93","356,574.00","356,574.00","209.80","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","72,943,925.48","0.41","72,943,925.48","729,439.00","729,439.00","100.00","Canada","-","CAD","0.00","3.47","1.00","-","0.00","0.00","-","3.47","0.00","3.47","CAD","-","Jan 1, 1989"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","72,843,712.13","0.41","72,843,712.13","416,893.00","416,893.00","174.73","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","72,736,756.73","0.41","72,736,756.73","5,319,794.00","5,319,794.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"WMT","WALMART INC","Consumer Staples","Equity","63,882,333.29","0.36","63,882,333.29","5,580,198.00","5,580,198.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","62,141,474.43","0.35","62,141,474.43","5,970,678.00","5,970,678.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"V","VISA INC CLASS A","Financials","Equity","61,845,209.00","0.35","61,845,209.00","2,137,223.00","2,137,223.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Mar 19, 2008"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","61,497,037.23","0.35","61,497,037.23","3,065,175.00","3,065,175.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"CCO","CAMECO CORP","Energy","Equity","57,141,497.70","0.32","57,141,497.70","399,899.00","399,899.00","142.89","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Sep 3, 1991"
"FNV","FRANCO NEVADA CORP","Materials","Equity","54,808,751.38","0.31","54,808,751.38","177,025.00","177,025.00","309.61","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 3, 2007"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","54,496,370.12","0.31","54,496,370.12","684,370.00","684,370.00","79.63","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","54,467,113.43","0.31","54,467,113.43","216,414.00","216,414.00","251.68","Korea (South)","Korea Exchange (Stock Market)","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","KRW","-","Jun 29, 1988"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","53,761,462.99","0.30","53,761,462.99","2,141,038.00","2,141,038.00","25.11","United Kingdom","London Stock Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","GBP","Jan 1, 1998","Jul 10, 1992"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","52,982,799.97","0.30","52,982,799.97","563,856.00","563,856.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 27, 1985"
"CVE","CENOVUS ENERGY","Energy","Equity","52,115,081.10","0.29","52,115,081.10","1,242,907.00","1,242,907.00","41.93","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Nov 2, 2009"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","50,988,261.25","0.29","50,988,261.25","508,560.00","508,560.00","100.26","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Mar 23, 2000"
"WCN","WASTE CONNECTIONS INC","Industrials","Equity","50,642,619.26","0.29","50,642,619.26","234,761.00","234,761.00","215.72","United States","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","50,282,871.61","0.28","50,282,871.61","5,026,043.00","5,026,043.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Feb 16, 1990"
"ROP","ROCHE PS PAR AG","Health Care","Equity","50,193,302.95","0.28","50,193,302.95","87,639.00","87,639.00","572.73","Switzerland","SIX Swiss Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","CHF","-","Mar 17, 2026"
"CLS","CELESTICA INC","Information Technology","Equity","50,160,338.56","0.28","50,160,338.56","105,505.00","105,505.00","475.43","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
