Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","6,689,746.98","9.12","6,689,746.98","79,583.00","84.06","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","5,806,734.64","7.91","5,806,734.64","163,294.00","35.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCO","CAMECO CORP","Energy","Equity","5,460,827.13","7.44","5,460,827.13","38,217.00","142.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING CORP","Materials","Equity","5,273,342.25","7.19","5,273,342.25","138,955.00","37.95","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","4,270,828.82","5.82","4,270,828.82","51,063.00","83.64","United States","New York Stock Exchange Inc.","CAD","0.73","USD"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","3,410,632.86","4.65","3,410,632.86","14,258.00","239.21","Peru","New York Stock Exchange Inc.","CAD","0.73","USD"
"BHP","BHP GROUP ADR LTD","Materials","Equity","3,305,720.06","4.51","3,305,720.06","28,795.00","114.80","Australia","New York Stock Exchange Inc.","CAD","0.73","USD"
"RIO","RIO TINTO ADR REPTG ONE PLC","Materials","Equity","3,195,364.40","4.36","3,195,364.40","22,510.00","141.95","United Kingdom","New York Stock Exchange Inc.","CAD","0.73","USD"
"IVN","IVANHOE MINES LTD CLASS A","Materials","Equity","3,145,616.12","4.29","3,145,616.12","279,362.00","11.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CS","CAPSTONE COPPER CORP","Materials","Equity","2,552,128.50","3.48","2,552,128.50","200,955.00","12.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALB","ALBEMARLE CORP","Materials","Equity","2,462,725.34","3.36","2,462,725.34","10,530.00","233.88","United States","New York Stock Exchange Inc.","CAD","0.73","USD"
"HBM","HUDBAY MINERALS INC","Materials","Equity","2,353,514.65","3.21","2,353,514.65","69,941.00","33.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AA","ALCOA CORP","Materials","Equity","2,177,642.89","2.97","2,177,642.89","24,709.00","88.13","United States","New York Stock Exchange Inc.","CAD","0.73","USD"
"NXE","NEXGEN ENERGY LTD","Energy","Equity","1,819,521.15","2.48","1,819,521.15","125,053.00","14.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SQM","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","1,670,705.44","2.28","1,670,705.44","14,941.00","111.82","Chile","New York Stock Exchange Inc.","CAD","0.73","USD"
