Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RY","ROYAL BANK OF CANADA","Financials","Equity","2,082,482,574.26","9.25","2,082,482,574.26","7,991,414.00","260.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TD","TORONTO DOMINION","Financials","Equity","1,469,637,661.05","6.53","1,469,637,661.05","9,596,067.00","153.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","1,013,003,972.73","4.50","1,013,003,972.73","7,009,923.00","144.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ENB","ENBRIDGE INC","Energy","Equity","993,220,804.68","4.41","993,220,804.68","12,474,514.00","79.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BMO","BANK OF MONTREAL","Financials","Equity","888,589,076.40","3.95","888,589,076.40","4,037,940.00","220.06","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","840,456,907.71","3.73","840,456,907.71","5,310,273.00","158.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","799,462,579.26","3.55","799,462,579.26","11,902,078.00","67.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","788,869,737.80","3.50","788,869,737.80","12,601,753.00","62.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","772,026,695.73","3.43","772,026,695.73","7,048,541.00","109.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","701,670,555.22","3.12","701,670,555.22","2,864,663.00","244.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SU","SUNCOR ENERGY INC","Energy","Equity","635,178,587.76","2.82","635,178,587.76","6,803,541.00","93.36","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","613,233,058.62","2.72","613,233,058.62","5,132,946.00","119.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRP","TC ENERGY CORP","Energy","Equity","578,723,720.01","2.57","578,723,720.01","5,949,663.00","97.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ABX","BARRICK MINING CORP","Materials","Equity","544,850,220.96","2.42","544,850,220.96","9,578,942.00","56.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","515,772,530.00","2.29","515,772,530.00","9,586,850.00","53.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","491,167,116.44","2.18","491,167,116.44","3,119,908.00","157.43","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","469,547,353.59","2.09","469,547,353.59","2,220,397.00","211.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","455,410,666.24","2.02","455,410,666.24","2,595,968.00","175.43","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCO","CAMECO CORP","Energy","Equity","361,398,952.62","1.61","361,398,952.62","2,490,174.00","145.13","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FNV","FRANCO NEVADA CORP","Materials","Equity","343,080,966.97","1.52","343,080,966.97","1,102,339.00","311.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","335,637,236.44","1.49","335,637,236.44","4,261,519.00","78.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CVE","CENOVUS ENERGY","Energy","Equity","323,125,836.75","1.44","323,125,836.75","7,739,541.00","41.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CLS","CELESTICA INC","Information Technology","Equity","320,474,356.20","1.42","320,474,356.20","656,979.00","487.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","319,530,120.00","1.42","319,530,120.00","3,166,800.00","100.90","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCN","WASTE CONNECTIONS INC","Industrials","Equity","313,818,130.21","1.39","313,818,130.21","1,461,863.00","214.67","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","308,636,087.85","1.37","308,636,087.85","113,895.00","2,709.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","284,372,713.98","1.26","284,372,713.98","1,015,218.00","280.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","278,529,896.71","1.24","278,529,896.71","1,560,479.00","178.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"K","KINROSS GOLD CORP","Materials","Equity","271,113,246.56","1.20","271,113,246.56","6,860,153.00","39.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NTR","NUTRIEN LTD","Materials","Equity","266,508,377.94","1.18","266,508,377.94","2,752,617.00","96.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","265,637,959.18","1.18","265,637,959.18","117,667.00","2,257.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","251,054,857.95","1.11","251,054,857.95","3,050,855.00","82.29","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","225,725,690.38","1.00","225,725,690.38","3,322,427.00","67.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTS","FORTIS INC","Utilities","Equity","224,575,368.22","1.00","224,575,368.22","2,900,741.00","77.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","222,131,633.80","0.99","222,131,633.80","2,559,710.00","86.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","207,891,118.96","0.92","207,891,118.96","1,980,104.00","104.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","198,019,094.34","0.88","198,019,094.34","3,216,162.00","61.57","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BCE","BCE INC","Communication","Equity","179,146,598.40","0.80","179,146,598.40","5,331,744.00","33.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMO","IMPERIAL OIL LTD","Energy","Equity","158,135,603.50","0.70","158,135,603.50","857,150.00","184.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"T","TELUS","Communication","Equity","151,500,648.99","0.67","151,500,648.99","8,854,509.00","17.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WSP","WSP GLOBAL INC","Industrials","Equity","148,922,037.60","0.66","148,922,037.60","770,818.00","193.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","Utilities","Equity","144,098,124.43","0.64","144,098,124.43","2,632,891.00","54.73","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Equity","143,950,149.25","0.64","143,950,149.25","2,153,975.00","66.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","140,761,833.64","0.63","140,761,833.64","2,102,806.00","66.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","140,125,082.76","0.62","140,125,082.76","3,863,388.00","36.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","130,423,226.46","0.58","130,423,226.46","1,498,773.00","87.02","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","125,652,797.87","0.56","125,652,797.87","1,725,289.00","72.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","111,412,299.18","0.49","111,412,299.18","2,207,933.00","50.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"H","HYDRO ONE LTD","Utilities","Equity","106,797,357.68","0.47","106,797,357.68","1,817,518.00","58.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MRU","METRO INC","Consumer Staples","Equity","99,611,000.86","0.44","99,611,000.86","1,106,543.00","90.02","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","99,045,119.55","0.44","99,045,119.55","1,089,965.00","90.87","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","88,600,818.95","0.39","88,600,818.95","751,555.00","117.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WN","GEORGE WESTON LTD","Consumer Staples","Equity","86,143,260.22","0.38","86,143,260.22","889,634.00","96.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIL","GILDAN ACTIVEWEAR INC","Consumer Discretionary","Equity","84,750,375.90","0.38","84,750,375.90","1,058,718.00","80.05","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCL.B","CCL INDUSTRIES INC CLASS B","Materials","Equity","73,684,381.20","0.33","73,684,381.20","821,820.00","89.66","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAE","CAE INC","Industrials","Equity","68,187,954.04","0.30","68,187,954.04","1,839,934.00","37.06","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SAP","SAPUTO INC","Consumer Staples","Equity","58,194,517.50","0.26","58,194,517.50","1,390,550.00","41.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","50,244,674.72","0.22","50,244,674.72","282,448.00","177.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","45,836,103.74","0.20","45,836,103.74","1,432,826.00","31.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FSV","FIRSTSERVICE SUBORDINATE VOTING CO","Real Estate","Equity","43,360,691.74","0.19","43,360,691.74","236,414.00","183.41","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","40,850,593.73","0.18","40,850,593.73","40,850,594.00","100.00","Canada","-","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","19,611,146.78","0.09","19,611,146.78","14,223,860.00","137.88","United States","-","CAD","0.73","USD"
"MLPFT","CASH COLLATERAL CAD MLPFT","Cash and/or Derivatives","Cash Collateral and Margins","3,091,000.00","0.01","3,091,000.00","3,091,000.00","100.00","Canada","-","CAD","1.00","CAD"
"2299955D","CONSTELLATION SOFTWARE INC","Information Technology","Equity","0.98","0.00","0.98","98,006.00","0.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PTM6","S&P/TSE 60 INDEX JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","50,367,500.00","125.00","2,014.70","-","The Montreal Exchange / Bourse De Montreal","CAD","1.00","CAD"
