Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"CDE","Coeur Mining, Inc.","Materials","Equity","","3.69","","","","","","","","","","","","","","","","","","","",""
"RUP","Rupert Resources Ltd.","Materials","Equity","","3.03","","","","","","","","","","","","","","","","","","","",""
"WDO","Wesdome Gold Mines Ltd.","Materials","Equity","","2.57","","","","","","","","","","","","","","","","","","","",""
"SSRM","SSR Mining Inc.","Materials","Equity","","2.32","","","","","","","","","","","","","","","","","","","",""
"ORE","Orezone Gold Corporation","Materials","Equity","","2.3","","","","","","","","","","","","","","","","","","","",""
"RIO","Rio2 Limited","Materials","Equity","","2.19","","","","","","","","","","","","","","","","","","","",""
"AUGO","Aura Minerals Inc.","Materials","Equity","","2.18","","","","","","","","","","","","","","","","","","","",""
"NEM","Newmont Corporation","Materials","Equity","","2.17","","","","","","","","","","","","","","","","","","","",""
"EDV","Endeavour Mining plc","Materials","Equity","","2.17","","","","","","","","","","","","","","","","","","","",""
"MAU","Montage Gold Corp.","Materials","Equity","","2.16","","","","","","","","","","","","","","","","","","","",""
"PAAS","Pan American Silver Corp.","Materials","Equity","","2.15","","","","","","","","","","","","","","","","","","","",""
"B","Barrick Mining Corporation","Materials","Equity","","2.13","","","","","","","","","","","","","","","","","","","",""
"CNL","Collective Mining Ltd.","Materials","Equity","","2.13","","","","","","","","","","","","","","","","","","","",""
"ARIS","Aris Mining Corporation","Materials","Equity","","2.1","","","","","","","","","","","","","","","","","","","",""
"SEA","Seabridge Gold Inc.","Materials","Equity","","2.09","","","","","","","","","","","","","","","","","","","",""
"CG","Centerra Gold Inc.","Materials","Equity","","2.08","","","","","","","","","","","","","","","","","","","",""
"SXGC","Southern Cross Gold Consolidated Ltd.","Materials","Equity","","2.07","","","","","","","","","","","","","","","","","","","",""
"K","Kinross Gold Corporation","Materials","Equity","","2.06","","","","","","","","","","","","","","","","","","","",""
"MUX","McEwen Inc.","Materials","Equity","","2.06","","","","","","","","","","","","","","","","","","","",""
"BTO","B2Gold Corp.","Materials","Equity","","2.05","","","","","","","","","","","","","","","","","","","",""
"HMY","Harmony Gold Mining Company Limited","Materials","Equity","","2.05","","","","","","","","","","","","","","","","","","","",""
"FNV","Franco-Nevada Corporation","Materials","Equity","","2.04","","","","","","","","","","","","","","","","","","","",""
"WPM","Wheaton Precious Metals Corp.","Materials","Equity","","2.03","","","","","","","","","","","","","","","","","","","",""
"SKE","Skeena Resources Limited","Materials","Equity","","2.01","","","","","","","","","","","","","","","","","","","",""
"AU","AngloGold Ashanti plc","Materials","Equity","","2.01","","","","","","","","","","","","","","","","","","","",""
"HYMC","Hycroft Mining Holding Corporation","Materials","Equity","","2.0","","","","","","","","","","","","","","","","","","","",""
"KNT","K92 Mining Inc.","Materials","Equity","","1.98","","","","","","","","","","","","","","","","","","","",""
"AAUC","Allied Gold Corporation","Materials","Equity","","1.98","","","","","","","","","","","","","","","","","","","",""
"DSV","Discovery Silver Corp.","Materials","Equity","","1.94","","","","","","","","","","","","","","","","","","","",""
"PPTA","Perpetua Resources Corp.","Materials","Equity","","1.94","","","","","","","","","","","","","","","","","","","",""
"TFPM","Triple Flag Precious Metals Corp.","Materials","Equity","","1.93","","","","","","","","","","","","","","","","","","","",""
"OR","OR Royalties Inc.","Materials","Equity","","1.93","","","","","","","","","","","","","","","","","","","",""
"SGD","Snowline Gold Corp.","Materials","Equity","","1.91","","","","","","","","","","","","","","","","","","","",""
"DPM","DPM Metals Inc.","Materials","Equity","","1.91","","","","","","","","","","","","","","","","","","","",""
"FVI","Fortuna Mining Corp.","Materials","Equity","","1.91","","","","","","","","","","","","","","","","","","","",""
"AEM","Agnico Eagle Mines Limited","Materials","Equity","","1.88","","","","","","","","","","","","","","","","","","","",""
"RGLD","Royal Gold, Inc.","Materials","Equity","","1.85","","","","","","","","","","","","","","","","","","","",""
"GFI","Gold Fields Limited","Materials","Equity","","1.85","","","","","","","","","","","","","","","","","","","",""
"GMIN","G Mining Ventures Corp.","Materials","Equity","","1.84","","","","","","","","","","","","","","","","","","","",""
"ELD","Eldorado Gold Corporation","Materials","Equity","","1.84","","","","","","","","","","","","","","","","","","","",""
"AGI","Alamos Gold Inc.","Materials","Equity","","1.84","","","","","","","","","","","","","","","","","","","",""
"TXG","Torex Gold Resources Inc.","Materials","Equity","","1.83","","","","","","","","","","","","","","","","","","","",""
"IMG","IAMGOLD Corporation","Materials","Equity","","1.81","","","","","","","","","","","","","","","","","","","",""
"OGC","OceanaGold Corporation","Materials","Equity","","1.8","","","","","","","","","","","","","","","","","","","",""
"LUG","Lundin Gold Inc.","Materials","Equity","","1.75","","","","","","","","","","","","","","","","","","","",""
"EQX","Equinox Gold Corp.","Materials","Equity","","1.74","","","","","","","","","","","","","","","","","","","",""
"GAU","Galiano Gold Inc.","Materials","Equity","","1.65","","","","","","","","","","","","","","","","","","","",""
"OLA","Orla Mining Ltd.","Materials","Equity","","1.59","","","","","","","","","","","","","","","","","","","",""
"NG","NovaGold Resources Inc.","Materials","Equity","","1.51","","","","","","","","","","","","","","","","","","","",""
"","Cash","","Cash","","-0.05","","","","","","","","","","","","","","","","","","","",""
